Product,Frequency,Link
iPad,720,www.apple.com
Apple TV,479,www.apple.com
iPhone 14,360,www.apple.com
Macbook,247,www.apple.com
AirPod,224,www.apple.com
iPhone 14 Pro,193,www.apple.com
iPad Air,124,www.apple.com
iPhone13,117,www.apple.com
Macbook Air,103,www.apple.com
iPhone Se,72,www.apple.com
Macbook Pro,61,www.apple.com
iPad Pro,56,www.apple.com
iMac,55,www.apple.com
iPhone 14 Pro Max,38,www.apple.com
AirTag,34,www.apple.com
iPhone 14 Plus,31,www.apple.com
iPhone 13 Mini,16,www.apple.com
mac mini,13,www.apple.com
Homepod,9,www.apple.com
Macpro,4,www.apple.com
mac studio,4,www.apple.com
Homepod Mini,2,www.apple.com
